country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","14-02-2026 12:00:00",26.1403345,85.3650192,NO2,3,4,3
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","14-02-2026 12:00:00",25.586562,85.043586,OZONE,NA,NA,NA
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","14-02-2026 12:00:00",25.592539,85.227158,PM10,102,137,120
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","14-02-2026 12:00:00",25.251013,86.989001,NH3,1,1,1
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","14-02-2026 12:00:00",25.251013,86.989001,OZONE,11,21,15
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","14-02-2026 12:00:00",25.265194,87.012947,NH3,5,11,7
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","14-02-2026 12:00:00",25.204762,85.514960,PM2.5,25,78,53
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","14-02-2026 12:00:00",25.7808257,84.7446768,PM2.5,28,325,66
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","14-02-2026 12:00:00",25.7808257,84.7446768,PM10,40,314,85
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","14-02-2026 12:00:00",25.7808257,84.7446768,NO2,1,1,1
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","14-02-2026 12:00:00",25.7808257,84.7446768,CO,36,56,45
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","14-02-2026 12:00:00",25.5626095,84.663264,PM10,18,63,40
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","14-02-2026 12:00:00",24.75746,84.366208,PM10,NA,NA,NA
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","14-02-2026 12:00:00",24.75746,84.366208,SO2,6,17,13
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","14-02-2026 12:00:00",24.75746,84.366208,CO,96,103,102
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","14-02-2026 12:00:00",25.42742023,86.13886079,PM10,52,109,75
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","14-02-2026 12:00:00",26.80365,84.51954,PM2.5,42,167,77
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","14-02-2026 12:00:00",26.80365,84.51954,PM10,39,117,69
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","14-02-2026 12:00:00",26.80365,84.51954,SO2,14,32,17
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","14-02-2026 12:00:00",17.72,83.3,PM10,114,448,208
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","14-02-2026 12:00:00",17.72,83.3,SO2,2,103,23
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","14-02-2026 12:00:00",27.103358,93.679645,NO2,7,8,7
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","14-02-2026 12:00:00",26.10887,91.589544,PM10,56,152,96
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","14-02-2026 12:00:00",26.10887,91.589544,NO2,13,19,15
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","14-02-2026 12:00:00",26.10887,91.589544,NH3,5,6,5
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM","14-02-2026 12:00:00",28.542460,77.191651,PM10,88,224,152
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM","14-02-2026 12:00:00",28.542460,77.191651,CO,31,108,81
India,Delhi,Delhi,"ITO, Delhi - CPCB","14-02-2026 12:00:00",28.628624,77.241060,PM2.5,66,346,217
India,Delhi,Delhi,"ITO, Delhi - CPCB","14-02-2026 12:00:00",28.628624,77.241060,NH3,3,7,4
India,Delhi,Delhi,"ITO, Delhi - CPCB","14-02-2026 12:00:00",28.628624,77.241060,SO2,9,27,20
